CBM10YearOld,10YearOld,Body/Age
CBM5YearOld,5YearOld,Body/Age
CBMAdult,Adult,Body/Age
Aged_Posture,Aged_Posture,Body/Age
CBMAgedBody1,AgedBody1,Body/Age
CBMAgedBody2,AgedBody2,Body/Age
CHMAgedHead1,AgedHead1,Head/Age
CHMAgedHead2,AgedHead2,Head/Age
CHMAgedHead3,AgedHead3,Head/Age
CHMAgedHead4,AgedHead4,Head/Age
CHMAgedHead5,AgedHead5,Head/Age
SCLArmsLength,ArmsLength,Body/Arms
SCLArmsLength_NEGATIVE_,ArmsLength_VE_,Body/Arms
Basic_Weight_1,Basic_Weight_1,Body/Fitness
FBMBodybuilderDetails,BodybuilderDetails,Body/Fitness
FBMBodybuilderSize,BodybuilderSize,Body/Fitness
FBMBodySize,BodySize,Body/Fitness
FBMBodyTone,BodyTone,Body/Fitness
Bulbous_1,Bulbous_1,Head/Face/Nose
Bulbous_2,Bulbous_2,Head/Face/Nose
PBMCalvesSize,CalvesSize,Body/Legs
PBMCalvesSize_NEGATIVE_,CalvesSize_VE_,Body/Legs
PHMCheekbonesDepressionHD,CheekbonesDepressionHD,Head/Face/Cheeks
PHMCheeksDepth,CheeksDepth,Head/Face/Cheeks
PHMCheeksDimpleCreaseHDR,CheeksDimpleCrease,Head/Face/Cheeks
PHMCheeksDimpleCreaseHDL,CheeksDimpleCrease,Head/Face/Cheeks
PHMCheeksSink,CheeksSink,Head/Face/Cheeks
SCLChestDepth,ChestDepth,Body/Chest
SCLChestDepth_NEGATIVE_,ChestDepth_VE_,Body/Chest
SCLChestWidth,ChestWidth,Body/Chest
SCLChestWidth_NEGATIVE_,ChestWidth_VE_,Body/Chest
PHMChinCleftHD,ChinCleftHD,Head/Face/Chin
PHMChinWidth,ChinWidth,Head/Face/Chin
PHMCraniumSlope,CraniumSlope,Head/Face
PHMCraniumSlope_NEGATIVE_,CraniumSlope_VE_,Head/Face
PHMEarlobesAttached,EarlobesAttached,Head/Ears
PHMEarlobesLength,EarlobesLength,Head/Ears
PHMEarsElf,EarsElf,Head/Ears
PHMEarsElfLong,EarsElfLong,Head/Ears
eCTRLAfraid,eLAfraid,Head/Expression
eCTRLAngry,eLAngry,Head/Expression
eCTRLBrowInnerUp_Down,eLBrowInnerUp_Down,Head/Face/Brow
eCTRLBrowInnerUp_DownL,eLBrowInnerUp_DownL,Head/Face/Brow
eCTRLBrowInnerUp_DownL_NEGATIVE_,eLBrowInnerUp_DownL_VE_,Head/Face/Brow
eCTRLBrowInnerUp_DownR,eLBrowInnerUp_DownR,Head/Face/Brow
eCTRLBrowInnerUp_DownR_NEGATIVE_,eLBrowInnerUp_DownR_VE_,Head/Face/Brow
eCTRLBrowOuterUp_Down,eLBrowOuterUp_Down,Head/Face/Brow
eCTRLBrowOuterUp_DownL,eLBrowOuterUp_DownL,Head/Face/Brow
eCTRLBrowOuterUp_DownR,eLBrowOuterUp_DownR,Head/Face/Brow
eCTRLBrowUp_Down,eLBrowUp_Down,Head/Face/Brow
eCTRLBrowUp_DownL,eLBrowUp_DownL,Head/Face/Brow
eCTRLBrowUp_DownL_NEGATIVE_,eLBrowUp_DownL_VE_,Head/Face/Brow
